路线编号,路线起点,路线终点,路线距离(m),起点行政区,终点行政区
76,82,83,34.08,朝阳区,朝阳区
77,83,84,64.74,朝阳区,朝阳区
78,85,86,477.4,汽开区,汽开区
79,86,87,222.64,汽开区,汽开区
80,88,89,1176.37,汽开区,长春新区(高新)
81,89,90,16.33,长春新区(高新),长春新区(高新)
82,90,91,760.59,长春新区(高新),长春新区(高新)
83,92,93,18.08,汽开区,汽开区
84,93,94,350.98,汽开区,汽开区
85,94,95,357.75,汽开区,汽开区
86,95,96,152.14,汽开区,汽开区
87,96,97,8.9,汽开区,汽开区
88,98,99,151.72,汽开区,汽开区
89,99,100,16.21,汽开区,汽开区
90,100,101,320.54,汽开区,汽开区
91,101,102,276.71,汽开区,汽开区
92,102,103,26.47,汽开区,汽开区
93,103,104,266.22,汽开区,汽开区
94,104,105,316.11,汽开区,汽开区
95,106,107,97.39,汽开区,汽开区
96,108,109,82.31,朝阳区,朝阳区
97,109,110,78.7,朝阳区,朝阳区
98,110,111,67.94,朝阳区,朝阳区
99,111,112,113.09,朝阳区,朝阳区
100,112,113,14.14,朝阳区,朝阳区
101,114,115,12.29,长春新区(高新),长春新区(高新)
102,115,116,771.03,长春新区(高新),长春新区(高新)
103,116,117,273.56,长春新区(高新),长春新区(高新)
104,117,118,59.4,长春新区(高新),长春新区(高新)
105,114,119,1234.81,长春新区(高新),汽开区
106,120,91,14.88,长春新区(高新),长春新区(高新)
107,120,122,761.09,长春新区(高新),长春新区(高新)
108,122,123,16.23,长春新区(高新),长春新区(高新)
109,123,124,1175.48,长春新区(高新),汽开区
110,91,125,520.26,长春新区(高新),长春新区(高新)
111,125,126,13.16,长春新区(高新),长春新区(高新)
112,126,127,14.51,长春新区(高新),长春新区(高新)
113,127,128,12.89,长春新区(高新),长春新区(高新)
114,128,129,143.57,长春新区(高新),长春新区(高新)
115,129,130,338.0,长春新区(高新),长春新区(高新)
116,130,131,251.29,长春新区(高新),长春新区(高新)
117,131,132,245.56,长春新区(高新),长春新区(高新)
118,132,133,260.1,长春新区(高新),长春新区(高新)
119,133,134,233.2,长春新区(高新),长春新区(高新)
120,134,135,73.77,长春新区(高新),长春新区(高新)
121,136,137,545.01,朝阳区,长春新区(高新)
122,137,138,687.08,长春新区(高新),长春新区(高新)
123,139,140,439.16,汽开区,汽开区
124,140,141,414.47,汽开区,汽开区
125,141,142,21.89,汽开区,汽开区
126,142,143,441.66,汽开区,汽开区
127,143,144,673.57,汽开区,汽开区
128,145,146,10.1,汽开区,汽开区
129,146,147,106.03,汽开区,汽开区
130,147,148,10.06,汽开区,汽开区
131,148,149,9.04,汽开区,汽开区
132,149,150,11.16,汽开区,汽开区
133,150,151,61.57,汽开区,汽开区
134,151,152,20.34,汽开区,汽开区
135,152,153,17.95,汽开区,汽开区
136,153,154,40.14,汽开区,汽开区
137,154,145,31.35,汽开区,汽开区
138,145,155,121.15,汽开区,汽开区
139,155,156,114.81,汽开区,汽开区
140,156,157,126.99,汽开区,汽开区
141,157,158,41.47,汽开区,汽开区
142,158,159,279.66,汽开区,汽开区
143,159,160,152.31,汽开区,汽开区
144,160,161,28.11,汽开区,汽开区
145,161,162,8.04,汽开区,汽开区
146,162,163,305.94,汽开区,朝阳区
147,163,164,247.46,朝阳区,朝阳区
148,164,165,174.79,朝阳区,朝阳区
149,165,166,320.79,朝阳区,朝阳区
150,166,167,17.64,朝阳区,朝阳区
151,167,168,8.31,朝阳区,朝阳区
152,168,169,119.76,朝阳区,朝阳区
153,169,170,186.14,朝阳区,朝阳区
154,170,171,186.37,朝阳区,朝阳区
155,171,172,203.23,朝阳区,朝阳区
156,172,173,61.89,朝阳区,朝阳区
157,173,174,257.53,朝阳区,朝阳区
158,175,176,167.81,汽开区,汽开区
159,176,177,9.75,汽开区,汽开区
160,177,99,467.15,汽开区,汽开区
161,99,178,438.6,汽开区,汽开区
162,179,180,65.34,绿园区,绿园区
163,181,182,12.76,绿园区,绿园区
164,182,183,648.94,绿园区,绿园区
165,183,184,303.65,绿园区,绿园区
166,184,185,199.1,绿园区,绿园区
167,185,186,317.13,绿园区,绿园区
168,187,188,26.68,汽开区,汽开区
169,188,189,275.56,汽开区,汽开区
170,189,190,358.69,汽开区,绿园区
171,190,191,588.79,绿园区,绿园区
172,191,192,11.46,绿园区,绿园区
173,192,193,567.98,绿园区,绿园区
174,193,194,720.99,绿园区,绿园区
175,194,195,16.53,绿园区,绿园区
176,196,197,118.74,汽开区,汽开区
177,198,199,88.01,汽开区,汽开区
178,186,200,316.84,绿园区,绿园区
179,200,201,199.05,绿园区,绿园区
180,201,202,277.77,绿园区,绿园区
181,202,203,277.07,绿园区,绿园区
182,203,204,397.3,绿园区,绿园区
183,204,181,14.3,绿园区,绿园区
184,205,206,109.75,汽开区,汽开区
185,207,208,553.91,汽开区,汽开区
186,209,210,30.88,朝阳区,朝阳区
187,210,211,22.83,朝阳区,朝阳区
188,211,212,34.31,朝阳区,朝阳区
189,212,213,47.65,朝阳区,朝阳区
190,213,214,107.46,朝阳区,朝阳区
191,214,215,39.4,朝阳区,朝阳区
192,215,216,37.29,朝阳区,朝阳区
193,216,217,35.38,朝阳区,朝阳区
194,217,218,122.36,朝阳区,朝阳区
195,218,219,34.26,朝阳区,朝阳区
196,219,220,8.56,朝阳区,朝阳区
197,220,209,97.03,朝阳区,朝阳区
198,221,222,52.71,朝阳区,朝阳区
199,222,223,12.02,朝阳区,朝阳区
200,223,224,155.52,朝阳区,朝阳区
201,224,225,8.66,朝阳区,朝阳区
202,225,226,150.32,朝阳区,朝阳区
203,226,227,10.61,朝阳区,朝阳区
204,227,228,65.52,朝阳区,朝阳区
205,228,229,14.17,朝阳区,朝阳区
206,229,230,129.26,朝阳区,朝阳区
207,230,221,36.65,朝阳区,朝阳区
208,214,231,15.33,朝阳区,朝阳区
209,231,232,544.14,朝阳区,朝阳区
210,232,233,354.54,朝阳区,朝阳区
211,233,234,15.98,朝阳区,朝阳区
212,234,235,300.89,朝阳区,朝阳区
213,235,236,159.29,朝阳区,朝阳区
214,236,237,99.66,朝阳区,朝阳区
215,237,238,129.85,朝阳区,朝阳区
216,238,239,26.01,朝阳区,朝阳区
217,239,240,59.78,朝阳区,朝阳区
218,224,241,293.01,朝阳区,朝阳区
219,241,242,630.33,朝阳区,朝阳区
220,242,174,12.24,朝阳区,朝阳区
221,174,243,480.6,朝阳区,朝阳区
222,243,244,422.9,朝阳区,朝阳区
223,245,246,93.35,朝阳区,朝阳区
224,246,247,88.36,朝阳区,朝阳区
225,247,248,260.53,朝阳区,朝阳区
226,248,249,213.66,朝阳区,长春新区(高新)
227,249,136,354.91,长春新区(高新),朝阳区
228,136,250,232.15,朝阳区,朝阳区
229,250,251,125.3,朝阳区,朝阳区
230,251,252,644.31,朝阳区,朝阳区
231,252,253,172.77,朝阳区,朝阳区
232,253,217,23.36,朝阳区,朝阳区
233,245,254,103.11,朝阳区,朝阳区
234,254,255,12.4,朝阳区,朝阳区
235,255,256,406.74,朝阳区,朝阳区
236,256,46,207.47,朝阳区,长春新区(高新)
237,46,257,13.19,长春新区(高新),长春新区(高新)
238,257,258,834.19,长春新区(高新),长春新区(高新)
239,258,259,744.97,长春新区(高新),长春新区(高新)
240,259,260,104.56,长春新区(高新),长春新区(高新)
241,260,261,33.7,长春新区(高新),长春新区(高新)
242,262,263,18.78,朝阳区,朝阳区
243,263,264,261.47,朝阳区,朝阳区
244,264,265,169.45,朝阳区,朝阳区
245,266,267,202.55,朝阳区,朝阳区
246,267,268,10.09,朝阳区,朝阳区
247,268,269,209.31,朝阳区,朝阳区
248,269,270,219.67,朝阳区,朝阳区
249,270,227,338.07,朝阳区,朝阳区
250,271,245,108.99,朝阳区,朝阳区
251,230,272,221.04,朝阳区,朝阳区
252,272,273,143.26,朝阳区,朝阳区
253,273,274,171.26,朝阳区,朝阳区
254,274,275,176.93,朝阳区,朝阳区
255,275,276,308.83,朝阳区,朝阳区
256,276,277,173.29,朝阳区,朝阳区
257,277,278,257.32,朝阳区,朝阳区
258,278,279,8.62,朝阳区,朝阳区
259,279,76,11.3,朝阳区,朝阳区
260,77,280,11.42,朝阳区,朝阳区
261,280,281,8.46,朝阳区,朝阳区
262,281,282,739.77,朝阳区,朝阳区
263,282,283,176.62,朝阳区,朝阳区
264,283,284,170.52,朝阳区,朝阳区
265,284,285,144.05,朝阳区,朝阳区
266,285,221,218.35,朝阳区,朝阳区
267,218,286,14.87,朝阳区,朝阳区
268,286,287,61.84,朝阳区,朝阳区
269,287,288,376.45,朝阳区,朝阳区
270,288,289,671.84,朝阳区,长春新区(高新)
271,289,290,309.43,长春新区(高新),朝阳区
272,290,291,33.62,朝阳区,长春新区(高新)
273,291,292,420.48,长春新区(高新),长春新区(高新)
274,292,293,24.68,长春新区(高新),长春新区(高新)
275,294,295,277.67,南关区,南关区
276,295,296,290.07,南关区,南关区
277,296,297,220.42,南关区,南关区
278,297,298,18.95,南关区,南关区
279,298,299,897.97,南关区,南关区
280,299,300,21.9,南关区,南关区
281,300,301,873.44,南关区,南关区
282,301,302,208.92,南关区,南关区
283,228,303,319.01,朝阳区,朝阳区
284,303,304,199.55,朝阳区,朝阳区
285,304,305,182.51,朝阳区,朝阳区
286,305,306,9.37,朝阳区,朝阳区
287,306,307,179.97,朝阳区,朝阳区
288,307,308,189.26,朝阳区,朝阳区
289,308,309,184.46,朝阳区,朝阳区
290,309,310,15.17,朝阳区,朝阳区
291,310,311,8.28,朝阳区,朝阳区
292,311,312,268.12,朝阳区,朝阳区
293,312,313,946.73,朝阳区,南关区
294,313,314,314.78,南关区,南关区
295,314,315,48.99,南关区,南关区
296,315,316,37.4,南关区,南关区
297,316,317,475.16,南关区,南关区
298,317,318,306.27,南关区,南关区
299,318,319,126.99,南关区,南关区
300,320,321,691.74,南关区,南关区
301,321,322,561.12,南关区,朝阳区
302,322,323,73.28,朝阳区,朝阳区
303,323,324,521.12,朝阳区,长春新区(高新)
304,324,325,97.61,长春新区(高新),长春新区(高新)
305,325,326,520.43,长春新区(高新),长春新区(高新)
306,326,327,55.7,长春新区(高新),长春新区(高新)
307,327,328,99.48,长春新区(高新),长春新区(高新)
308,328,329,151.29,长春新区(高新),长春新区(高新)
309,329,292,84.32,长春新区(高新),长春新区(高新)
310,292,330,575.46,长春新区(高新),长春新区(高新)
311,330,331,285.18,长春新区(高新),长春新区(高新)
312,331,260,75.01,长春新区(高新),长春新区(高新)
313,260,332,164.98,长春新区(高新),长春新区(高新)
314,333,334,26.19,南关区,南关区
315,334,335,36.08,南关区,南关区
316,335,336,31.91,南关区,南关区
317,336,337,34.73,南关区,南关区
318,337,320,81.19,南关区,南关区
319,320,338,57.43,南关区,南关区
320,338,339,59.22,南关区,南关区
321,339,340,12.82,南关区,南关区
322,340,341,48.02,南关区,南关区
323,341,342,26.84,南关区,南关区
324,342,343,34.61,南关区,南关区
325,343,333,52.39,南关区,南关区
326,344,345,383.75,南关区,经开区
327,345,346,17.73,经开区,经开区
328,346,347,451.37,经开区,经开区
329,347,348,431.1,经开区,经开区
330,349,350,68.85,经开区,经开区
331,350,348,49.35,经开区,经开区
332,348,351,81.03,经开区,经开区
333,351,352,64.77,经开区,经开区
334,352,353,82.96,经开区,经开区
335,353,354,44.14,经开区,经开区
336,354,355,76.83,经开区,经开区
337,355,349,81.68,经开区,经开区
338,356,357,17.48,朝阳区,朝阳区
339,357,358,24.56,朝阳区,朝阳区
340,358,359,160.41,朝阳区,朝阳区
341,359,360,180.46,朝阳区,朝阳区
342,360,361,194.87,朝阳区,朝阳区
343,361,362,185.34,朝阳区,朝阳区
344,362,363,99.14,朝阳区,朝阳区
345,363,364,14.65,朝阳区,朝阳区
346,364,365,232.13,朝阳区,朝阳区
347,365,366,257.71,朝阳区,宽城区
348,366,367,9.2,宽城区,宽城区
349,367,368,17.95,宽城区,宽城区
350,368,369,118.81,宽城区,宽城区
351,113,370,6.36,朝阳区,朝阳区
352,370,371,32.94,朝阳区,朝阳区
353,371,372,231.05,朝阳区,朝阳区
354,372,373,330.57,朝阳区,朝阳区
355,373,374,105.96,朝阳区,朝阳区
356,374,375,113.04,朝阳区,朝阳区
357,375,376,206.59,朝阳区,朝阳区
358,376,167,13.22,朝阳区,朝阳区
359,167,377,122.79,朝阳区,朝阳区
360,377,378,232.31,朝阳区,朝阳区
361,378,379,105.78,朝阳区,朝阳区
362,379,380,237.75,朝阳区,朝阳区
363,380,234,336.12,朝阳区,朝阳区
364,234,381,31.88,朝阳区,朝阳区
365,381,382,30.69,朝阳区,朝阳区
366,382,383,460.28,朝阳区,朝阳区
367,271,384,19.05,朝阳区,朝阳区
368,384,385,446.59,朝阳区,朝阳区
369,385,386,115.4,朝阳区,朝阳区
370,386,387,348.87,朝阳区,朝阳区
371,387,388,178.5,朝阳区,长春新区(高新)
372,388,207,136.51,长春新区(高新),汽开区
373,245,389,11.25,朝阳区,朝阳区
374,389,390,57.91,朝阳区,朝阳区
375,177,391,11.14,汽开区,汽开区
376,391,392,328.01,汽开区,汽开区
377,392,393,155.62,汽开区,汽开区
378,393,394,50.51,汽开区,汽开区
379,394,395,77.9,汽开区,汽开区
380,395,396,22.82,汽开区,汽开区
381,396,397,296.06,汽开区,汽开区
382,397,398,156.44,汽开区,汽开区
383,398,399,179.75,汽开区,汽开区
384,399,400,180.12,汽开区,汽开区
385,400,401,156.65,汽开区,汽开区
386,401,402,297.07,汽开区,汽开区
387,402,403,22.86,汽开区,汽开区
388,403,404,76.58,汽开区,汽开区
389,404,405,50.32,汽开区,汽开区
390,405,406,157.43,汽开区,汽开区
391,406,407,327.72,汽开区,汽开区
392,407,176,11.34,汽开区,汽开区
393,399,408,687.36,汽开区,汽开区
394,409,410,272.41,长春新区(高新),长春新区(高新)
395,410,411,904.67,长春新区(高新),长春新区(高新)
396,412,413,251.89,南关区,南关区
397,413,414,635.79,南关区,南关区
398,414,415,382.88,南关区,南关区
399,415,416,260.91,南关区,南关区
400,416,417,61.73,南关区,南关区
401,417,418,132.76,南关区,南关区
402,418,419,44.15,南关区,南关区
403,419,420,138.87,南关区,南关区
404,420,421,150.08,南关区,南关区
405,421,422,168.1,南关区,南关区
406,422,423,168.48,南关区,南关区
407,423,424,171.51,南关区,南关区
408,424,425,187.03,南关区,长春新区(高新)
409,425,426,386.58,长春新区(高新),长春新区(高新)
410,427,428,699.66,净月区,净月区
411,428,429,1965.24,净月区,净月区
412,429,430,1241.81,净月区,净月区
413,431,432,41.07,净月区,净月区
414,432,433,76.76,净月区,净月区
415,433,434,144.55,净月区,净月区
416,435,436,668.4,经开区,净月区
417,437,438,427.33,经开区,经开区
418,438,439,511.93,经开区,经开区
419,439,440,239.87,经开区,经开区
420,440,441,229.65,经开区,经开区
421,442,443,63.07,经开区,经开区
422,443,444,90.65,经开区,经开区
423,444,435,151.84,经开区,经开区
424,435,445,36.66,经开区,经开区
425,445,446,83.42,经开区,经开区
426,446,447,55.64,经开区,经开区
427,447,448,79.32,经开区,经开区
428,448,449,76.06,经开区,经开区
429,449,437,98.54,经开区,经开区
430,437,450,19.26,经开区,经开区
431,450,442,86.25,经开区,经开区
432,451,452,463.46,经开区,经开区
433,453,454,28.38,汽开区,汽开区
434,454,455,277.41,汽开区,汽开区
435,455,456,271.45,汽开区,汽开区
436,457,458,168.72,朝阳区,朝阳区
437,210,459,13.8,朝阳区,朝阳区
438,459,460,200.85,朝阳区,朝阳区
439,460,461,666.83,朝阳区,朝阳区
440,461,462,83.86,朝阳区,朝阳区
441,462,463,103.96,朝阳区,朝阳区
442,463,464,299.47,朝阳区,朝阳区
443,464,465,246.93,朝阳区,朝阳区
444,465,457,302.03,朝阳区,朝阳区
445,466,467,9.61,宽城区,宽城区
446,467,468,249.97,宽城区,宽城区
447,468,469,118.78,宽城区,绿园区
448,470,471,7.98,朝阳区,朝阳区
449,471,472,116.88,朝阳区,朝阳区
450,472,473,239.41,朝阳区,朝阳区
451,473,474,39.51,朝阳区,朝阳区
452,475,476,7.83,朝阳区,朝阳区
453,476,477,191.98,朝阳区,朝阳区
454,477,478,234.44,朝阳区,朝阳区
455,478,479,139.28,朝阳区,朝阳区
456,479,480,78.71,朝阳区,朝阳区
457,480,481,9.66,朝阳区,朝阳区
458,481,482,180.77,朝阳区,朝阳区
459,482,483,200.5,朝阳区,朝阳区
460,483,484,165.26,朝阳区,朝阳区
461,485,486,91.7,朝阳区,朝阳区
462,486,487,77.07,朝阳区,朝阳区
463,487,488,145.39,朝阳区,朝阳区
464,488,489,145.29,朝阳区,朝阳区
465,489,490,169.14,朝阳区,朝阳区
466,490,491,176.42,朝阳区,朝阳区
467,491,492,211.62,朝阳区,朝阳区
468,492,493,94.95,朝阳区,朝阳区
469,493,494,87.15,朝阳区,朝阳区
470,494,495,86.71,朝阳区,朝阳区
471,495,496,75.65,朝阳区,朝阳区
472,496,497,67.62,朝阳区,朝阳区
473,497,498,117.98,朝阳区,朝阳区
474,498,499,9.46,朝阳区,朝阳区
475,499,75,14.74,朝阳区,朝阳区
476,500,501,93.64,朝阳区,朝阳区
477,501,502,161.43,朝阳区,朝阳区
478,502,503,190.43,朝阳区,朝阳区
479,503,504,12.94,朝阳区,朝阳区
480,504,505,144.56,朝阳区,绿园区
481,505,506,23.27,绿园区,绿园区
482,507,508,41.68,二道区,二道区
483,509,510,466.95,汽开区,汽开区
484,510,511,328.45,汽开区,汽开区
485,511,141,19.57,汽开区,汽开区
486,141,512,359.55,汽开区,汽开区
487,512,513,297.3,汽开区,汽开区
488,514,515,8.19,汽开区,汽开区
489,515,516,393.02,汽开区,汽开区
490,516,517,753.3,汽开区,汽开区
491,518,187,65.27,汽开区,汽开区
492,187,519,31.46,汽开区,汽开区
493,519,520,18.0,汽开区,汽开区
494,520,521,83.74,汽开区,汽开区
495,521,522,11.36,汽开区,汽开区
496,522,523,9.17,汽开区,汽开区
497,523,524,53.26,汽开区,汽开区
498,524,525,35.87,汽开区,汽开区
499,525,526,129.63,汽开区,汽开区
500,526,527,15.18,汽开区,汽开区
501,527,518,25.08,汽开区,汽开区
502,528,529,13.09,绿园区,绿园区
503,529,530,618.17,绿园区,绿园区
504,530,531,334.92,绿园区,绿园区
505,531,532,197.31,绿园区,绿园区
506,532,533,316.25,绿园区,绿园区
507,533,534,507.84,绿园区,绿园区
508,534,192,13.75,绿园区,绿园区
509,192,535,15.67,绿园区,绿园区
510,535,536,15.37,绿园区,汽开区
511,536,537,395.82,汽开区,汽开区
512,537,538,524.16,汽开区,汽开区
513,538,539,402.11,汽开区,汽开区
514,539,206,248.59,汽开区,汽开区
515,206,540,254.09,汽开区,汽开区
516,540,541,402.44,汽开区,汽开区
517,541,542,228.93,汽开区,汽开区
518,542,543,294.63,汽开区,汽开区
519,543,544,395.87,汽开区,汽开区
520,544,545,15.62,汽开区,汽开区
521,545,191,16.17,汽开区,绿园区
522,191,546,13.17,绿园区,绿园区
523,546,547,507.93,绿园区,绿园区
524,547,548,315.74,绿园区,绿园区
525,548,549,197.81,绿园区,绿园区
526,549,550,952.8,绿园区,绿园区
527,550,551,12.89,绿园区,绿园区
528,552,553,13.23,汽开区,汽开区
529,553,554,51.34,汽开区,汽开区
530,554,555,191.97,汽开区,汽开区
531,555,556,226.74,汽开区,汽开区
532,557,554,550.74,汽开区,汽开区
533,554,558,42.05,汽开区,汽开区
534,558,559,531.71,汽开区,汽开区
535,559,560,60.68,汽开区,汽开区
536,560,561,3.16,汽开区,汽开区
537,394,404,12.2,汽开区,汽开区
538,404,562,67.52,汽开区,汽开区
539,562,563,16.06,汽开区,汽开区
540,564,565,619.98,汽开区,汽开区
541,565,566,156.17,汽开区,汽开区
542,566,567,14.61,汽开区,汽开区
543,567,568,126.68,汽开区,汽开区
544,568,569,192.1,汽开区,汽开区
545,569,570,274.89,汽开区,汽开区
546,570,571,30.02,汽开区,汽开区
547,571,572,263.56,汽开区,汽开区
548,572,573,211.69,汽开区,汽开区
549,574,51,1226.16,汽开区,长春新区(高新)
550,51,575,14.77,长春新区(高新),长春新区(高新)
551,575,576,553.34,长春新区(高新),长春新区(高新)
552,576,577,616.04,长春新区(高新),长春新区(高新)
553,577,578,124.02,长春新区(高新),长春新区(高新)
554,578,579,12.89,长春新区(高新),长春新区(高新)
555,579,580,15.29,长春新区(高新),长春新区(高新)
556,580,581,12.93,长春新区(高新),长春新区(高新)
557,581,582,123.65,长春新区(高新),长春新区(高新)
558,582,426,1520.44,长春新区(高新),长春新区(高新)
559,583,584,227.02,长春新区(高新),长春新区(高新)
560,585,586,63.04,长春新区(高新),长春新区(高新)
561,586,587,411.6,长春新区(高新),长春新区(高新)
562,587,588,268.24,长春新区(高新),长春新区(高新)
563,588,589,296.37,长春新区(高新),长春新区(高新)
564,589,590,583.38,长春新区(高新),南关区
565,590,591,362.15,南关区,南关区
566,591,592,21.15,南关区,南关区
567,592,593,24.52,南关区,南关区
568,593,594,172.85,南关区,长春新区(高新)
569,594,595,403.62,长春新区(高新),长春新区(高新)
570,595,596,446.3,长春新区(高新),长春新区(高新)
571,596,597,15.95,长春新区(高新),长春新区(高新)
572,597,598,291.62,长春新区(高新),长春新区(高新)
573,598,599,180.45,长春新区(高新),长春新区(高新)
574,599,600,395.41,长春新区(高新),长春新区(高新)
575,600,601,21.56,长春新区(高新),长春新区(高新)
576,601,602,239.47,长春新区(高新),南关区
577,602,603,751.42,南关区,长春新区(高新)
578,603,426,16.38,长春新区(高新),长春新区(高新)
579,565,98,794.57,汽开区,汽开区
580,98,604,642.96,汽开区,汽开区
581,604,605,582.42,汽开区,汽开区
582,606,607,123.76,汽开区,汽开区
583,607,608,197.88,汽开区,汽开区
584,608,609,272.22,汽开区,汽开区
585,609,610,28.57,汽开区,汽开区
586,610,611,266.66,汽开区,汽开区
587,611,612,251.58,汽开区,汽开区
588,208,613,43.79,汽开区,汽开区
589,613,564,38.71,汽开区,汽开区
590,564,614,325.72,汽开区,汽开区
591,614,615,20.89,汽开区,汽开区
592,388,616,700.37,长春新区(高新),汽开区
593,616,617,541.96,汽开区,汽开区
594,618,619,26.1,汽开区,汽开区
595,619,620,29.2,汽开区,汽开区
596,620,621,55.38,汽开区,汽开区
597,622,623,421.33,汽开区,汽开区
598,624,196,255.8,汽开区,汽开区
599,196,625,68.31,汽开区,汽开区
600,625,626,173.09,汽开区,汽开区
601,626,627,244.05,汽开区,汽开区
602,627,628,460.54,汽开区,汽开区
603,629,630,266.34,朝阳区,朝阳区
604,630,631,9.64,朝阳区,朝阳区
605,631,632,11.65,朝阳区,朝阳区
606,632,633,115.22,朝阳区,朝阳区
607,633,634,71.61,朝阳区,朝阳区
608,634,635,186.81,朝阳区,朝阳区
609,635,636,181.5,朝阳区,朝阳区
610,636,637,10.79,朝阳区,朝阳区
611,637,638,180.3,朝阳区,朝阳区
612,638,639,199.61,朝阳区,朝阳区
613,639,488,173.27,朝阳区,朝阳区
614,488,272,228.75,朝阳区,朝阳区
615,272,285,36.01,朝阳区,朝阳区
616,285,640,116.63,朝阳区,朝阳区
617,641,642,18.91,绿园区,绿园区
618,642,643,689.36,绿园区,绿园区
619,643,195,13.78,绿园区,绿园区
620,195,644,15.47,绿园区,绿园区
621,644,645,15.47,绿园区,绿园区
622,645,646,301.34,绿园区,绿园区
623,646,647,615.87,绿园区,汽开区
624,647,648,16.03,汽开区,汽开区
625,648,649,384.83,汽开区,汽开区
626,649,650,500.09,汽开区,汽开区
627,650,651,212.92,汽开区,汽开区
628,651,652,193.93,汽开区,汽开区
629,652,653,174.04,汽开区,汽开区
630,654,655,301.1,汽开区,汽开区
631,655,656,136.48,汽开区,汽开区
632,656,657,296.91,汽开区,朝阳区
633,658,659,295.42,汽开区,汽开区
634,659,660,137.47,汽开区,汽开区
635,660,661,304.77,汽开区,汽开区
636,661,662,14.56,汽开区,汽开区
637,205,663,67.59,汽开区,汽开区
638,663,623,210.67,汽开区,汽开区
639,623,664,15.5,汽开区,汽开区
640,664,665,246.33,汽开区,汽开区
641,665,666,153.48,汽开区,汽开区
642,666,667,334.91,汽开区,汽开区
643,667,650,13.24,汽开区,汽开区
644,644,668,16.68,绿园区,绿园区
645,668,669,718.9,绿园区,绿园区
646,669,535,567.48,绿园区,绿园区
647,535,545,11.48,绿园区,汽开区
648,545,670,589.58,汽开区,绿园区
649,670,671,358.59,绿园区,汽开区
650,671,519,301.23,汽开区,汽开区
651,613,672,339.29,汽开区,汽开区
652,672,658,578.94,汽开区,汽开区
653,658,657,419.54,汽开区,朝阳区
654,657,673,35.0,朝阳区,朝阳区
655,673,674,362.53,朝阳区,朝阳区
656,212,675,15.73,朝阳区,朝阳区
657,675,676,39.73,朝阳区,朝阳区
