路口节点,路口节点所属行政区,路口节点连接社区数
5980,长春新区(高新),1
6009,南关区,1
6019,南关区,2
6020,南关区,1
6054,南关区,1
6088,南关区,1
6098,南关区,1
6109,长春新区(高新),1
6157,绿园区,1
6179,宽城区,1
6180,宽城区,1
6195,宽城区,2
6196,宽城区,2
6200,宽城区,2
6204,宽城区,1
6206,宽城区,2
6207,宽城区,1
6208,宽城区,4
6209,宽城区,1
6216,宽城区,1
6251,二道区,1
6281,二道区,1
6302,宽城区,1
6303,宽城区,2
6305,宽城区,1
6312,二道区,2
6313,二道区,2
6316,二道区,1
6350,长春新区(高新),1
6393,宽城区,1
6397,宽城区,1
6423,净月区,1
6427,汽开区,1
6460,汽开区,1
6464,绿园区,1
6472,南关区,2
6473,南关区,1
6498,朝阳区,1
6501,南关区,1
6502,南关区,1
6504,南关区,1
6505,朝阳区,2
6506,朝阳区,1
6507,朝阳区,1
6508,朝阳区,1
6510,朝阳区,2
6519,朝阳区,1
6568,南关区,1
6594,宽城区,1
6597,宽城区,2
6603,宽城区,1
6605,宽城区,1
6610,宽城区,2
6611,宽城区,1
6612,宽城区,1
6634,南关区,1
6636,南关区,1
6656,南关区,1
6662,南关区,1
6666,南关区,2
6671,南关区,2
6693,南关区,1
6695,南关区,1
6707,宽城区,1
6710,宽城区,1
6711,宽城区,1
6720,宽城区,1
6724,绿园区,1
6727,宽城区,1
6744,宽城区,1
6758,朝阳区,1
6774,朝阳区,1
6775,朝阳区,1
6781,朝阳区,1
6789,南关区,2
6791,南关区,1
6797,南关区,1
6805,朝阳区,1
6816,南关区,3
6818,南关区,1
6819,南关区,1
6840,南关区,1
6846,南关区,1
6849,南关区,1
6850,南关区,1
6852,南关区,1
6856,南关区,2
6864,南关区,1
6880,南关区,1
6891,宽城区,1
6899,南关区,1
6900,南关区,1
6913,南关区,1
6930,二道区,1
6934,二道区,2
6942,绿园区,1
6945,南关区,1
6947,南关区,1
6967,朝阳区,1
6970,朝阳区,1
6975,南关区,1
6979,朝阳区,1
6980,南关区,1
6981,朝阳区,1
6984,朝阳区,1
6990,南关区,1
6991,南关区,1
6992,朝阳区,1
6993,朝阳区,1
7002,南关区,1
7006,长春新区(高新),2
7007,朝阳区,1
7023,经开区,1
7038,净月区,1
7041,净月区,2
7047,净月区,1
7054,净月区,1
7056,净月区,1
7059,南关区,1
7084,汽开区,1
7087,朝阳区,1
7101,汽开区,1
7114,长春新区(高新),1
7128,汽开区,1
7129,汽开区,1
7141,二道区,1
7145,经开区,1
7150,二道区,2
7151,二道区,1
7154,经开区,1
7155,经开区,1
7165,南关区,1
7168,朝阳区,1
7181,绿园区,1
7182,绿园区,1
7186,绿园区,1
7189,绿园区,1
7192,绿园区,1
7193,绿园区,1
7205,绿园区,1
7210,绿园区,1
7214,绿园区,1
7223,绿园区,1
7229,绿园区,1
7230,绿园区,1
7236,汽开区,1
7238,汽开区,1
7239,汽开区,1
7241,宽城区,1
7242,二道区,1
7244,二道区,1
7246,朝阳区,1
7250,南关区,1
7256,经开区,2
7257,经开区,1
7258,经开区,1
7297,二道区,1
7298,二道区,1
7335,经开区,3
7336,经开区,1
7337,经开区,1
7356,经开区,1
7369,经开区,1
7384,二道区,1
7386,二道区,3
7388,二道区,3
7399,二道区,1
7400,二道区,2
7405,二道区,1
7417,宽城区,1
7426,净月区,2
7439,南关区,1
7469,南关区,1
7476,南关区,2
7477,南关区,1
7487,净月区,1
7489,净月区,3
7490,宽城区,1
7503,宽城区,1
7511,绿园区,1
7552,二道区,1
7553,二道区,1
7554,二道区,1
7561,宽城区,1
7562,宽城区,1
7571,绿园区,1
7572,宽城区,1
7590,经开区,1
7628,长春新区(高新),1
7636,二道区,1
7638,二道区,2
7639,二道区,1
7644,二道区,1
7656,净月区,1
7659,净月区,1
7681,朝阳区,1
7685,朝阳区,1
7686,朝阳区,1
7687,朝阳区,1
7689,朝阳区,1
7705,宽城区,1
7711,宽城区,1
7721,绿园区,1
7728,宽城区,1
7729,宽城区,1
7730,宽城区,1
7731,宽城区,1
7732,宽城区,1
7733,宽城区,1
7734,宽城区,1
7736,宽城区,1
7737,宽城区,3
7739,宽城区,3
7740,宽城区,1
7743,汽开区,1
7753,汽开区,1
7754,汽开区,1
7761,汽开区,1
7762,汽开区,1
7795,汽开区,1
7813,汽开区,1
7839,汽开区,1
7840,汽开区,1
7841,汽开区,1
7848,汽开区,1
7882,汽开区,3
7903,汽开区,1
7904,汽开区,1
7905,汽开区,1
7909,汽开区,1
7910,汽开区,1
7922,汽开区,1
7926,绿园区,1
7928,汽开区,1
7933,绿园区,1
7937,绿园区,1
7940,绿园区,2
7950,绿园区,3
7951,绿园区,1
7952,绿园区,1
7955,绿园区,1
7966,绿园区,1
7968,绿园区,2
7969,绿园区,1
7972,绿园区,2
7973,绿园区,1
7975,绿园区,1
8023,宽城区,3
8086,二道区,1
8087,南关区,2
8100,二道区,1
8103,长春新区(高新),1
8111,绿园区,1
8115,绿园区,1
8118,朝阳区,1
8125,南关区,1
8126,宽城区,4
8131,绿园区,1
8175,长春新区(高新),1
8178,绿园区,3
8207,宽城区,1
8248,绿园区,1
8282,南关区,1
8283,南关区,1
8284,南关区,2
8292,汽开区,1
8295,汽开区,1
8298,南关区,1
8304,绿园区,1
8342,宽城区,1
8416,绿园区,1
8435,汽开区,1
8441,南关区,1
8443,南关区,1
8457,南关区,2
8484,净月区,1
8485,净月区,1
8486,净月区,1
8489,净月区,2
8494,净月区,1
8498,经开区,1
8523,二道区,2
8531,二道区,2
8532,二道区,1
8535,二道区,1
8538,经开区,1
8613,汽开区,1
8669,净月区,1
8673,净月区,1
8679,净月区,1
8690,宽城区,1
8694,宽城区,2
8695,宽城区,1
8696,宽城区,1
8697,宽城区,1
8709,经开区,1
8721,二道区,1
9121,二道区,1
9138,汽开区,2
9147,汽开区,1
9162,汽开区,1
9164,汽开区,1
9168,经开区,1
9169,经开区,1
9171,二道区,1
9179,经开区,1
9186,二道区,2
9195,绿园区,1
9198,绿园区,1
9199,绿园区,2
9204,绿园区,1
9208,绿园区,3
9212,绿园区,1
9226,绿园区,1
9230,绿园区,1
9260,宽城区,1
9262,长春新区(高新),1
9273,朝阳区,1
9324,南关区,2
9330,净月区,1
9332,净月区,1
9338,长春新区(高新),1
9409,绿园区,1
9417,宽城区,3
9418,宽城区,1
9438,绿园区,1
9445,绿园区,1
9447,绿园区,1
9484,南关区,1
9486,南关区,1
9490,南关区,1
9493,南关区,1
9528,净月区,1
9535,净月区,1
9536,净月区,1
9537,净月区,1
9557,净月区,1
9559,净月区,1
9573,宽城区,1
9599,经开区,1
9601,经开区,1
9673,朝阳区,1
9674,朝阳区,1
9692,长春新区(高新),1
9701,净月区,1
9705,二道区,3
9706,二道区,1
9709,二道区,1
9714,汽开区,1
9744,净月区,1
9747,朝阳区,1
9762,二道区,1
9775,经开区,1
9776,经开区,4
9792,经开区,1
9799,经开区,1
9800,经开区,1
9802,二道区,1
9811,经开区,1
9816,朝阳区,1
9821,南关区,1
9823,南关区,1
9827,南关区,1
9847,南关区,1
9849,朝阳区,1
9878,净月区,1
9901,长春新区(高新),1
9902,长春新区(高新),1
9916,汽开区,1
9927,朝阳区,2
